"addon_game_name"	"英雄之路"
"dota_hud_NoUnlockRock"  "这可不太妙" 
"DOTA_CUSTOM_Wave_force_start"  "回合强制开始"

"DOTA_CUSTOM_Wave_force_start_count"  "回合强制开始进度:"
"DOTA_HUD_game_info_difficult"  "等待选择难度"
"DOTA_HUD_game_difficult"  "难度："
"DOTA_HUD_CheckBonusButton_Button"  "查询奖励"
"DOTA_HUB_Start_create_bonus"  "游戏结束，正在创建结算奖励中……" 


"DOTA_HUD_ReRollBonus" "消耗10点存储黄金重新随机道具奖励,剩余重随次数：{s:reRollCount}"
"DOTA_HUD_ReRollChallenge" "消耗10点存储黄金重新随机苦难,剩余重随次数：{s:reRollCount}"

"DOTA_HUD_Bonus_gold"       "黄金奖励：{s:bonus}"
"DOTA_HUD_Bonus_exp"        "可靠经验奖励：{s:bonus}"
"DOTA_HUD_Bonus_platinum"   "白金奖励：{s:bonus}"

"DOTA_HUD_ReRollItemDone"                   "重新生成成功"
"DOTA_HUD_ReRollItemFail"                   "重新生成失败(可能服务器不稳定)"
"DOTA_HUD_ReRollItemFail2"                   "重新生成失败(合法性验证失败)"
"DOTA_HUD_server_login_fail"   "服务器又不稳定了，再试一次"
"DOTA_HUD_Get_Bonus_success"   "领取成功"
"DOTA_CUSTOM_start_end_bonus"  "游戏开始结算……"
"DOTA_HUD_Special_spell_info"  "特殊技能将在后续版本中逐渐加入普通技能池（越靠前的技能越先加入）"
"DOTA_HUD_CheckBonus_info"  "查询你当前是否有未领取的奖励"
"DOTA_HUD_SpellShop_info"  "<font color=\"#d9534f\">技能升到满级可以通过升阶解锁一个新的效果并提高上限；（但高阶技能需要拥有技能书才可以解锁）</font><br><br><font color=\"#f0ad4e\">黄色边框为每周免费技能；（你可以在未解锁该技能的情况下将其升到高阶的10级）</font><br><br>对于高阶技能，你可以通过左键升1级，也可以右键升5级"
"DOTA_HUD_SpellShop_info2"   "被动技能默认是放到最后，在某些情况下你需要将其前置以开启快捷键，在其他技能栏里第一个技能可以免费购买以满足切换需求"
"DOTA_HUD_SpellShop_info3"   "出售技能将返还一半的金币与技能点，在单人模式下将返还所有技能点"
"DOTA_HUD_SpellShop_info4"   "技能5/3级后可以进行升阶"
"DOTA_HUD_PlayerInfo_info1"   "<font color=\"#5bc0de\">技能图鉴：</font><br><font color=\"#f0ad4e\">在这里你可以查看你已解锁的高阶技能，也可以通过消耗可靠经验进行升级，提升最大等级上限。</font><br><font color=\"#f0ad4e\">在游戏中将你的技能升到高阶后，你可以花费额外的500/750金币对其进行升级，升级后的技能将增加基础属性，每五个等级还将解锁一个新的效果。</font>"
"DOTA_HUD_PlayerInfo_info2"   "<font color=\"#5bc0de\">商城：</font><br><font color=\"#f0ad4e\">你可以通过完成游戏获得的金币购买技能抑或换取经验。<br>当然也可以选择进行氪金（但我并不推荐盲目氪金，如果只是为了支持作者那没问题，但不要上头哦）</font>"



"DOTA_HUD_PlayerInfo_info3"   "特效仓库"
"DOTA_HUD_PlayerInfo_info4"   "个人信息"
"DOTA_HUD_PlayerInfo_info5"   "扩展设置(F10)"
"DOTA_HUD_PlayerInfo_info6"   "成就"
"DOTA_HUD_PlayerInfo_info7"   "<font color=\"#5bc0de\">环阶技能图鉴：</font><br><font color=\"#f0ad4e\">此处的技能仅出现于乱纪元"
"DOTA_HUD_PlayerInfo_info8"   "<font color=\"#5bc0de\">圣物图鉴：</font><br><font color=\"#f0ad4e\">圣物只能在乱纪元模式下使用，在乱纪元模式下会随机掉落圣物"

"DOTA_HUD_showAllBuff_info"   "启用后将显示更多状态，但存在以下问题：失去了技能实体的状态（例如消耗品蜂王浆）将无法使用alt+左键发出提示，大部分道具状态将失去状态图标"



"DOTA_HUD_showDamageInfo"   "显示伤害与治疗数据"
"DOTA_HUD_CheckFellOmen"   "查看百相状态"
"DOTA_HUD_Bonus_FellOmenCount"   "额外的半相数:{s:waveCount}"

"DOTA_HUD_BuyBackInfo"   "暂时献祭自己的一部分属性复活目标(F3)"

"dota_hud_rooted"  "被缠绕"
"dota_hud_cantmove"  "无法移动"
"dota_hud_Cant_UNLOCK"  "不满足解锁条件"
"dota_hub_cooldown"  "冷却中"


"DOTA_HUD_HiddenDate"   "结算后是否将提交的数据进行隐藏"
"DOTA_HUD_Yes"   "是"
"DOTA_HUD_Yes_Info"   "提交信息时将不会提交英雄，技能与道具数据。如果你们的信息上了排行榜，将无法查看你们所使用的英雄，技能与道具。"
"DOTA_HUD_No"   "否"
"DOTA_HUD_Yes_show"   "{s:player_name}选择本次比赛隐藏游戏数据，如果上排行榜，其他玩家无法查看你们的游戏数据"
"DOTA_HUD_No_show"   "{s:player_name}选择本次比赛不隐藏游戏数据，如果上排行榜，其他玩家可以查看你们的游戏数据"
"DOTA_HUD_CANT_SEE_INFO"   "该组玩家设置其他人无法查看其数据"

"DOTA_HUD_store"   "仓库"
"DOTA_HUD_core_count"   "剩余原石数:{s:count}"
"Market_Core_buy_failed_no_core"                   "没有剩余原石可以锻造"
"Market_Core_buy_failed_no_core_chance"                   "原石锻造机会已全部消耗"
"Market_Core_buy_failed_difficulty"                   "在挑战排行榜时无法使用奥义"
"Market_Core_buy_failed_server"                   "服务器不稳定"
"DOTA_HUD_PLAYER_GET_CORE_in_game1"                   "{s:player_name}搜刮到了一颗锻造完毕的<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_in_game2"                   "天外飞星赠与{s:player_name}一颗锻造完毕的<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_in_game3"                   "某名老好人赠与{s:player_name}一颗锻造完毕的<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_in_game4"                   "一颗锻造完毕的<font color=\"#f0ad4e\">{s:ability_name}</font>砸中了{s:player_name}的头"


"DOTA_HUD_PLAYER_GET_CORE"                   "{s:player_name}锻造了<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS1"                   "{s:player_name}从某个尸体中发现了<font color=\"#f0ad4e\">{s:locstring_value}</font>颗<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS2"                   "{s:player_name}从某处矿脉发现了<font color=\"#f0ad4e\">{s:locstring_value}</font>颗<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS3"                   "{s:player_name}从某处发现了<font color=\"#f0ad4e\">{s:locstring_value}</font>颗<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS4"                   "天上掉下了<font color=\"#f0ad4e\">{s:locstring_value}</font>颗<font color=\"#f0ad4e\">{s:ability_name}</font>，砸中了{s:player_name}"
"DOTA_HUD_PLAYER_GET_CORE_BONUS5"                   "{s:player_name}从地上捡到了<font color=\"#f0ad4e\">{s:locstring_value}</font>颗<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS6"                   "一名无面者赠送了{s:player_name}<font color=\"#f0ad4e\">{s:locstring_value}</font>颗<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS7"                   "{s:player_name}的祈求生效了，获得了<font color=\"#f0ad4e\">{s:locstring_value}</font>颗<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS8"                   "{s:player_name}利用队友的气运发现了<font color=\"#f0ad4e\">{s:locstring_value}</font>颗<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS9"                   "{s:player_name}获得了<font color=\"#f0ad4e\">{s:locstring_value}</font>颗<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS10"                   "阿哈利姆大师回应了{s:player_name}的请求，给予了他<font color=\"#f0ad4e\">{s:locstring_value}</font>颗<font color=\"#f0ad4e\">{s:ability_name}</font>"



"DOTA_HUD_upgrade_advanced_spell_info"  "左键点击升1级，右键升5级"
"DOTA_HUD_upgrade_advanced_spell_force_buy_info"  "花费100白金解锁该技能（推荐只有在特殊技能池里的技能才采取该方式购买）<br>对于普通技能池的技能，可以通过完成游戏解锁，或购买技能包解锁"
"DOTA_HUD_upgrade_advanced_spell_force_buy"  "购买技能"


"Player_Black_Hole1"                   "虫洞生效了…………"
"Player_Black_Hole2"                   "世界发生了某种改变……"


"Paypal_block_too_small"                   "由于Paypal高定额手续费，低额交易暂不开放，请谅解。"


"DOTA_NPEDesc_DOTA_Item_Build_Auto_Items"                   "你开启了进阶版商店，请将其禁用，否则无法正常显示装备"
"DOTA_Shop_info"                   "每回合结束时会获得一次装备奖励选择机会，大部分装备在此步骤获取而非商店购买。商店中出售的装备皆为最基础的物品"

"DOTA_GameMode_15"  "英雄之路·序章"
"dota_game_end_victory_title_radiant"  "成功度过了苦难"
"dota_game_end_victory_title_dire"  "被苦难所击倒"
// <img class='DotaPlusSmallIcon' src='file://{images}/dota_plus/dotaplus_logo_small.png' />

"TimeScalce_panel"                   "时间系数"
"TimeScalce_info"                   "你可以通过改变游戏时间系数来使游戏变得缓慢，从而一定程度上可以缓解卡顿；在特别卡的时候还可以防止闪退。"
"TimeScalce_send"                   "确认更改"
"TimeScalce_send_info"                   "向队友发出改变时间系数的确认请求。"



"DOTA_HUD_Change_Time_Scale"   "有玩家想调整时间系数，是否接受？"
"DOTA_HUD_Change_Time_Scale_Yes"   "同意"
"DOTA_HUD_Change_Time_Scale_Yes_Info"   "当所有玩家都同意后游戏的时间系数将被改变。"
"DOTA_HUD_Change_Time_Scale_No"   "拒绝"
"DOTA_HUD_Change_Time_Scale_Yes_show"   "{s:player_name}接受了调整请求。"
"DOTA_HUD_Change_Time_Scale_NO_show"   "{s:player_name}拒绝了调整请求。"

"DOTA_HUD_Change_Time_Scale_change_info"   "游戏时间系数已被调整至{s:locstring_value}%"


"DOTA_HUD_Talent_Menu"                   "已解锁天赋"
"DOTA_HUD_Item_Menu"                   "装备图鉴"
"DOTA_HUD_Game_Info"                   "游戏情报"



"DOTA_CUSTOM_UpdateFailed2"                   "<font color=\"#d9534f\">{s:player_name}游戏结算奖励更新失败，可能系服务器不稳定，2秒后将再次尝试更新</font>"
"DOTA_CUSTOM_UpdateFailed3"                   "如超过2分钟等待仍然保存失败请保存截图联系作者"

"HUD_Settlement_Done"  "结算已完成，现在可以安全退出游戏"


"DOTA_CUSTOM_Cant_Learn_1"                   "死亡时无法学习技能"
"DOTA_CUSTOM_Cant_Learn_2"                   "死亡时无法升阶技能"
"DOTA_CUSTOM_Cant_Learn_3"                   "死亡时无法升级技能"

"DOTA_CUSTOM_heroSelection_1"                   "载入玩家数据中……"
"DOTA_CUSTOM_heroSelection_2"                   "玩家数据获取进度，如果长时间未能载入请重新开始游戏。在右上角角可以点击被隐藏的退出按钮。如果长时间未能载入建议换一个地区的服务器。"
"DOTA_CUSTOM_heroSelection_3"                   "注意不要使用本地服务器"

"DOTA_CUSTOM_CAST_DENY_DISABLE_HELP"                   "无法对启用禁用帮助的目标施法"
"DOTA_CUSTOM_CAST_DENY_NO_TARGET"                   "没有合适的目标"
"DOTA_CUSTOM_CAST_DENY_NO_stack"                   "没有足够的叠加层数"


"DOTA_HUD_spell_modify"                   "你有未使用的基因修饰点"
"DOTA_HUD_spell_modify_title"                   "基因修饰"
"DOTA_HUD_spell_modify_current_point"                   "当前基因修饰点数：{s:value1}"
"DOTA_HUD_spell_modify_send"                   "确认"
"DOTA_HUD_spell_modify_deny_1"                   "没有足够的基因修饰点"
"DOTA_HUD_spell_modify_1"                   "攻击修饰"
"DOTA_HUD_spell_modify_2"                   "防御修饰"

"DOTA_HUD_not_enough_ability_point"                   "没有技能点"


"DOTA_HUD_spell_upgrate_button_tooltip"                   "技能升阶费用："




"DOTA_HUD_SpellBook_Dropped"   "新登录的结算奖励：<font color=\"#f0ad4e\">待揭露的技能书</font>×{s:value1}。"

// "DOTA_Modifier_Alert"				"正处于<font color='%s1'>%s2%s3</font>%s4的作用下"
// "DOTA_Modifier_Alert_Ally_Hero"		"队友 <font color='%s4'>%s5</font> 处于：<font color='%s1'>%s2%s3</font>%s6"
// "DOTA_Modifier_Alert_Ally_Unit"		"队友 <font color='%s4'>%s5</font> 处于：<font color='%s1'>%s2%s3</font>%s6作用下"

"DOTA_Modifier_From"				"(来源-%s1)"
"DOTA_Modifier_From_Unknow"				"(来源未知)"


"DOTA_HUD_exp_Dropped"   "新登录的结算奖励：<img class='DotaPlusSmallIcon' src='s2r://panorama/images/battle_report/silver_medal_small_psd.vtex' /><font color=\"#f0ad4e\">可靠经验</font>：{s:value1}"
"DOTA_HUD_aurum_Dropped"   "新登录的结算奖励：<img class='DotaPlusSmallIcon' src='s2r://panorama/images/compendium/compendiumcoins_ti5_png.vtex' /><font color=\"#f0ad4e\">黄金</font>：{s:value1}"

"DOTA_Modifier_Alert_hd_special_1"				"拥有%s1%冷却缩减"

"DOTA_HUD_Advanced_Attribue" "高级属性列表"
"DOTA_HUD_CooldownReduction"  "冷却缩减："
"DOTA_HUD_OutGoingDamage_Detail"  "伤害加成："
"DOTA_HUD_CastRangeBonus_Detail"  "施法距离加成："
"DOTA_HUD_HealAMP_PercentageBonus_Detail"  "治疗增强"
"DOTA_HUD_HealReceiveAMP_PercentageBonus_Detail" "受到治疗增强"

"DOTA_HUD_DurationGain"  "正面状态持续时间增强："
"DOTA_HUD_NegativeDurationGain" "负面状态持续时间增强："


"DOTA_HUD_SummonIntensity" "召唤增强："
"DOTA_HUD_SummonTimeIntensity" "召唤时间增强："
"DOTA_HUD_LifeStealIntensity" "吸血增强："
"DOTA_HUD_RandomEffectGain" "概率事件增强："
"DOTA_HUD_PhysicalCriticalAmp"  "致命一击伤害增强："

"DOTA_HUD_Incoming_Damage"  "常驻伤害减免："
"DOTA_HUD_Proficiency"      "精通："



"HUD_Advanced_Header"  "高阶效果"

"HUD_LERAN_SPELL_FAIL_Before_DifficultySelected"  "需要等待难度选择"



"HUD_Get_Gift"	"{s:player_name}领取了礼包，获得<img class='DotaPlusSmallIcon' src='file://{images}/spells_menu/platinum.png' /><font color=\"#4ebff0\">{d:int_value}白金</font>与<img class='DotaPlusSmallIcon' src='s2r://panorama/images/compendium/compendiumcoins_ti5_png.vtex' /><font color=\"#f0ad4e\">{d:int_value2}黄金</font>与<img class='DotaPlusSmallIcon' src='s2r://panorama/images/battle_report/silver_medal_small_psd.vtex' /><font color=\"#f0ad4e\">{s:locstring_value2}可靠经验</font>"
"HUD_Get_Gift_2"	"{s:player_name}领取了礼包，获得<img class='DotaPlusSmallIcon' src='file://{images}/spells_menu/platinum.png' /><font color=\"#4ebff0\">{d:int_value}白金</font>与<img class='DotaPlusSmallIcon' src='s2r://panorama/images/compendium/compendiumcoins_ti5_png.vtex' /><font color=\"#f0ad4e\">{d:int_value2}黄金</font>与<img class='DotaPlusSmallIcon' src='s2r://panorama/images/battle_report/silver_medal_small_psd.vtex' /><font color=\"#f0ad4e\">{s:locstring_value2}可靠经验</font>与<font color=\"#f07f4e\">{s:locstring_value}个神秘奖励。</font>"
		

"HUD_SHOP_DISABLE_ON_BATTLE"  "战斗阶段无法购买物品"

"HUD_Hotkey_setting_info" "绑定快捷键后，无法更改绑定，注意不要绑定已被你绑定的键位"
"HUD_Hotkey_setting_error_1"  "只能绑定字母键位"

"HUD_stage20_bonus"  "{s:player_name}通过了无尽排行榜前20关，获得了1次自选第五阶级装备的机会！"
"HUD_DEBUG_NOTE"  "{s:player_name}使用了开发者测试功能，如果他目的不纯，那就是开挂。"





// "dota_tip_universal_1"				"玩家装备的播音员和界面皮肤都是可以共享的。在游戏中打开计分板后点击右下角按钮将打开“共享内容”即可进行选择。"
// "dota_tip_universal_2"				"要保持淡定。就算输掉了比赛，你还有人生。"
// "dota_tip_universal_3"				"如果遇到言行粗鲁的玩家，可以打开左上角的计分板，点击ID一栏中的小喇叭按钮将其屏蔽。"
// "dota_tip_universal_4"				"选好英雄后，在决策阶段可以点击小地图，告诉队友自己在游戏前期计划选择的分路。"
// "dota_tip_universal_5"				"与匹配的队友进行了一场痛快的比赛？比赛结束后赛后界面的英雄上方可以为他点赞。"
// "dota_tip_universal_6"				"按住Alt键后左键点击技能图标可以告诉队友该技能的当前状态。"
"dota_tip_universal_7"				"注意看，这个男人可能在坐牢。"
// "dota_tip_universal_8"				"与队友交流切忌恶言相向。所有人遇到粗鲁的话语都不会选择听从。"
"dota_tip_universal_9"				"很多时候队友真的需要你陪他一起坐牢。"
"dota_tip_universal_10"				"有时候想划水？有时候想打酱油？那么试试贪婪与感染吧！"
// "dota_tip_universal_11"				"请善待新手，你也是这么走过来的。"
// "dota_tip_universal_12"				"祝你好运，玩得开心~"
// "dota_tip_universal_13"				"选择合适的英雄非常重要。很多英雄之间都有非常明显的克制关系，而很多英雄能够两两形成配合，在游戏中打出一定的优势。"
// "dota_tip_universal_14"				"按住Shift键再操作英雄可以使英雄按照操作的顺序依次完成指令。"
"dota_tip_universal_15"				"让作者到你的心声！前往讨论群分享你的坐牢体验吧！"
"dota_tip_universal_16"				"不小心让风险骰子炸了？时刻记住，风险与收益同在。"
// "dota_tip_universal_17"				"积极支援队友可以帮助团队取得最终的胜利。"
// "dota_tip_universal_18"				"喜欢小地图上显示英雄图标还是彩色标志？这可以在设置界面的“游戏选项”中更改。"
// "dota_tip_universal_19"				"这场比赛打完了可以站起来，伸个懒腰什么的。"
// "dota_tip_universal_20"				"记住：每个人的状态总有起伏，凡事善意提醒好过恶言相向。"
// "dota_tip_universal_21"				"想要小地图在屏幕右侧显示？这可以在设置界面的“游戏选项”中更改。"
// "dota_tip_universal_22"				"你可以在设置界面中调整英雄语音的播放频率。"
"dota_tip_universal_23"				"失败是常事，但失败后的成功才是最为鼓舞人心的！"
// "dota_tip_universal_24"				"按住Alt键后点击自己的技能或物品可以提醒队友，该技能或物品是处于可以使用、冷却中或者没有足够魔法的状态。"
// "dota_tip_universal_25"				"即使受到沉默作用依然可以使用物品。"
// "dota_tip_universal_26"				"不小心取消了回城卷轴？设置界面中可以勾选“仅有停止行动键能打断传送”，勾选后就不用担心了。"
// "dota_tip_universal_27"				"按住Alt再点击敌方英雄物品栏里的装备将会提醒队友：敌人身上有这件装备。"
// "dota_tip_universal_28"				"按住Alt键再点击买活按钮，或自己的金钱，就可以告诉队友你的买活状态。"
"dota_tip_universal_29"				"如果在倒计时结束后还未选择英雄，那么系统就会开始扣除初始金钱。"
"dota_tip_universal_30"				"每日黑市每天晚上8点刷新，别忘了时刻关注。"
"dota_tip_universal_31"				"不要跟队友争执不休，别忘了，你要通过这场试炼。"
// "dota_tip_universal_33"				"如有需要，可在设置菜单中启用色盲模式。"
// "dota_tip_universal_34"				"按住Alt键并点击敌方英雄的血条，将会发送信息告诉队友该英雄的当前生命值与魔法值。点击自己的血条同样有效。"
// "dota_tip_universal_35"				"按住Alt键并点击英雄血条上方的状态图标可以发送消息，告诉队友该英雄的当前状态 - 点击敌方英雄同样有效。"
// "dota_tip_universal_36"				"按住Alt键并点击防御符文可以发送消息告诉队友，防御符文当前的状态。想要告诉队友不要使用防御符文可以同时按住Ctrl和Alt键，再点击符文。"
// "dota_tip_universal_37"				"按住Alt键并点击自己的复活倒计时可以告诉队友自己复活还需要多久。"
// "dota_tip_universal_38"				"使用聊天轮盘（默认Y键）可以向队友快速发送信息。在设置界面中可以设置聊天轮盘上的词组。"
// "dota_tip_universal_39"				"通过聊天轮盘发送的信息会根据他人客户端的语言自动进行转换，无需自行翻译。"
// "dota_tip_universal_40"				"设置快速施法的快捷键后，按下快捷键就能在鼠标所指的位置施放相应技能。"
"dota_tip_universal_42"				"公开你的竞赛数据，让其他玩家也能发现你们的流派吧！"
// "dota_tip_universal_43"				"在设置界面中有一项“双击对自身施法”，勾选后双击技能图标或者快捷键就能自动对自己控制的英雄施放。"
// "dota_tip_universal_44"				"千万不要放弃！在团队处于大劣势的时候击杀敌方英雄将获得大量金钱和经验。"
"dota_tip_universal_45"				"营造玩家的融洽与和谐离不开所有人的努力。"
"dota_tip_universal_46"				"想看看职业选手怎么坐牢的吗？到B站搜一搜吧！"
// "dota_tip_universal_47"				"在设置中的游戏选项中，可以选择不勾选“自动攻击”。这样可以避免自己藏在某处却会自动攻击敌人的尴尬。"
"dota_tip_universal_49"			"背负更多的苦难，更多的坐牢，更多的回报！"
// "dota_tip_universal_50"			"保持冷静与礼貌，这样你才能更成功地激励你的队友。"
// "dota_tip_universal_51"			"冷静的玩家总是能够更好地做出决策。"
// "dota_tip_universal_52"			"一定要明确自己接下来的行动。"
// "dota_tip_universal_53"			"失败乃是成功之母。"
"dota_tip_universal_54"			"别忘了升阶你的技能，更高级的技能意味着更多的功能。"
// "dota_tip_universal_55"			"在设置中启用“施法时显示施法距离”可以看到技能的施法距离。"
// "dota_tip_universal_56"			"不要害怕尝试自己不熟悉的英雄。"
"dota_tip_universal_57"			"与三两好友一同坐牢实乃乐事。"
// "dota_tip_universal_58"			"对于言行粗鲁的玩家，不要犹豫，直接屏蔽。"
// "dota_tip_universal_59"			"不要一直埋怨自己犯错，吸取教训，再接再厉。"
// "dota_tip_universal_60"			"要时刻留意小地图中的动向。"
// "dota_tip_universal_61"			"如果你在用语音聊天时出现游戏卡顿，不如试试到设置菜单里开启“按键发言优化模式”。"
"dota_tip_universal_62"			"讨论群偶尔会有一些活动，这也是获得某些奖励的好方法"
"dota_tip_universal_63"			"不要总是给你的队友压力，或许他只是个新手。"
"dota_tip_universal_64"			"与新手玩家一起游玩时有更高的奖励"
"dota_tip_universal_65"			"坐牢很痛苦，明天很美好"
"dota_tip_universal_66"			"初阶技能5级后可以升级为中阶，中阶技能3级后可以升级为高阶"
"dota_tip_universal_67"			"如果觉得某个英雄很垃圾，或许是你还未发现他的用法"
"dota_tip_universal_68"			"jiayou a chun yu"
// "dota_tip_universal_69"			"锁闭效果可以阻止英雄使用物品。"
// "dota_tip_universal_70"			"沉默效果可以阻止英雄使用技能。"
// "dota_tip_universal_71"			"破坏效果可以使英雄的被动技能无效。"
"dota_tip_universal_73"			"中国队加油"
// "dota_tip_universal_74"			"按住Alt键并左键点击地图可以向队友发出相关信息。"
"dota_tip_universal_76"			"难度更高意味着更多的回报"
"dota_tip_universal_77"			"jiayou a chun yu"

"dota_tip_beginner_1"					"每日黑市每天晚上8点刷新，别忘了时刻关注。"
// "dota_tip_beginner_2"					"升级技能时按住Ctrl键点击该技能的快捷键即可快速完成升级。"
"dota_tip_beginner_3"					"某些技能可以提供高空视野，使你能发现威胁的到来。"
"dota_tip_beginner_4"					"让队友学习贪婪为你贡献宝箱，这样你就能体验当大腿的快乐。"
"dota_tip_beginner_5"					"某些技能可以使你发现隐身单位，这可以更好的对付某些其他位面的实体。"
"dota_tip_beginner_7"					"面对坑比我重拳出击！"
// "dota_tip_beginner_10"				"按住Shift键再点击商店中的物品可以将其添加到快速购买栏中。"
// "dota_tip_beginner_11"				"完成对防御塔的摧毁性一击可以使自己获得更多的金钱奖励。"
"dota_tip_beginner_12"				"“优势路”是指不需要痛苦的道路"
"dota_tip_beginner_13"				"“劣势路”是指背负更多的苦难，让你和你的队友一起痛苦"
"dota_tip_beginner_15"				"装备多个鞋类物品后移动速度的增加效果可以叠加，无论你是一条腿，还是两条腿，你都可以鞋上套鞋。"
"dota_tip_beginner_16"				"选中敌方单位阅读它们的技能，可以更快的找到通过试炼的方法。"
"dota_tip_beginner_17"				"随时准备好面对boss的到来，因为你的队友随时可能召唤出一个爹。"
"dota_tip_beginner_18"				"利用急行与高低坡可以躲开敌人的追击。"
"dota_tip_beginner_19"				"针对坑比队友，你可以用善意感化他们。"
"dota_tip_beginner_20"				"快学贪婪给点宝箱啊！"
"dota_tip_beginner_21"				"魔瓶每回合都会自动填充，无需担心。。"
"dota_tip_beginner_22"				"B站上有许多前辈上传了攻略，来打造建立您的英雄。"
"dota_tip_beginner_25"				"记得要多关注小地图，谨防队友的背刺"
"dota_tip_beginner_26"				"想要了解怎样去学会使用某个英雄，最好的方法就是多玩几场。"
"dota_tip_beginner_28"				"队友死亡后可以接近他们的尸体，点击其头像下的按钮将其复活。"
"dota_tip_beginner_29"				"通关并不意味着结束，还有更多的玩法等着你发掘。"
"dota_tip_beginner_31"				"要注意自己的站位，小心boss的突袭。"
"dota_tip_beginner_33"				"注意不要太快将可靠经验花光，或许你更适合用其他技能。"
"dota_tip_beginner_36"				"在准备阶段死亡时可以立马复活。"
// "dota_tip_beginner_40"				"力量与生命值上限挂钩。敏捷决定攻击速度。智力影响魔法值上限。"
"dota_tip_beginner_41"				"神秘商店其实并不神秘，因为在英雄之路并没有神秘商店。"
// "dota_tip_beginner_42"				"“核心”英雄的成长较慢，在游戏后期将会异常强大。“辅助”英雄在游戏前后期的作用差别并不大，但是他们是保证团队胜利的根本。"
"dota_tip_beginner_43"				"每回合结束时会提升一个等级，在某些回合你可以额外获得一个技能点。"
"dota_tip_beginner_44"				"必要时学会放弃也很重要，总比你游戏卡炸了来找我要补偿好。"
"dota_tip_beginner_45"				"遇到bug时别忘了留下记录提交给作者。"
"dota_tip_beginner_47"				"风险骰子面前人人平等。"
"dota_tip_beginner_48"				"想要了解自己喜欢的英雄，可以加入讨论群询问前辈。"
"dota_tip_beginner_49"				"别忘了复活队友，多一个人多一份底气。"
"dota_tip_beginner_50"				"千万不要吝惜你的爱！"
"dota_tip_beginner_53"				"你可以购买侦察和岗哨守卫，但是它们太贵了。"
"dota_tip_beginner_54"				"英雄之路中没有强化神符，所以你无需时刻注意游戏时间"
"dota_tip_beginner_55"				"前期很痛苦，但后期也可能很痛苦。"
"dota_tip_beginner_56"				"死亡会不会导致英雄失去不可靠金钱。"
"dota_tip_beginner_57"				"注意游戏更新时，有时候会有礼包码。"







"dota_tip_intermediate_3"			"将礼包码输入到聊天窗口发送即可领取礼包。"
"dota_tip_intermediate_4"			"竞速比赛中进入第一回合后才会开始计算时间。"
"dota_tip_intermediate_6"			"急行可以规避跟踪投掷物。"
// "dota_tip_intermediate_8"			"从上坡的位置攻击敌人时敌人的攻击有可能会落空，或者无法从战争迷雾中看到你。"
"dota_tip_intermediate_9"			"使用风险骰子可以让你获得大量全属性，也可能透支你的全部力量。"
// "dota_tip_intermediate_10"			"强袭胸甲可以提升附近队友的护甲和攻击速度。"
"dota_tip_intermediate_11"			"怪物开始攻击你的时，可以将其引导到坦克的身边。"
"dota_tip_intermediate_12"			"关注每日黑市，或许会出售你想要的技能。"
"dota_tip_intermediate_13"			"特殊技能将会在一段时间后加入普通技能池，而boss技能一开始就可以通过击败boss获取，当boss技能移出特殊技能池后意味着你无法再购买它了。"
"dota_tip_intermediate_14"			"特殊技能池中的boss技能更贵，但只要运气好你也可以通过击败对应boss立马得到它。"
"dota_tip_intermediate_15"			"反补有时候有用，有时候则无意义。"
"dota_tip_intermediate_16"			"魔法抗性可以使你能抵挡更多魔法伤害。"
// "dota_tip_intermediate_17"			"购买提升护甲的装备后，将在一定程度上减少所受的物理伤害。"
// "dota_tip_intermediate_18"			"如果技能的伤害类型为纯粹，则不能通过提升物理护甲或魔法抗性减免其伤害。"
// "dota_tip_intermediate_20"			"如果在隐身状态下切换动力鞋的主属性将导致自己脱离隐身状态，进行持续施法如使用回城卷轴时切换也会导致自己将其打断。"
"dota_tip_intermediate_21"			"注意有些怪物当你靠近时会撤退，所以你看不见它们可能就是因为这个原因；尝试先将它们骗出来吧！"
