"DOTA_Tooltip_ability_Advanced_laser_note_lv5"				"[Преломление +]Добавить единицу к числу преломлений"
"DOTA_Tooltip_ability_Advanced_overcharge_note_lv15"			"[Улучшение широкой области] больше не работает на обычных юнитах (если нет других героев), теперь оно действует на всех героев в радиусе действия."
"DOTA_Tooltip_ability_Advanced_overcharge_note_lv20"			"[Усиление суперспособности]Для других юнитов-героев, кроме вас, он получит дополнительные 30%% от полных атрибутов заклинателя."
"DOTA_Tooltip_ability_Advanced_overcharge_note_base_Info"       "Увеличение скорости атаки: +4/уровень<br/>Макс. регенерация HP в секунду: 0,1%%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_overcharge_note_lv25_1"				"[Flow]The attack of friendly units can make you launch an attack to his target, but this frequency cannot exceed your own attack speed (Each state calculates the frequency independently)"
"DOTA_Tooltip_ability_Advanced_overcharge_note_lv25_2"				"[Overload]You can turn on auto casting, and all effects of the spell except 'Power over Up' will be tripled, and the duration will be 1.5 times, but the ability cooldown time will be tripled, and will enter the cooldown after your buff disappears"
"DOTA_Tooltip_ability_Advanced_overcharge_note_lv25_3"				"[Eternal]Loss of 'Widen AOE' effect, but the buff changes to permanent unless the you cast the spell again (but only the buff of the hero is cleared)"


"DOTA_Tooltip_ability_Advanced_tether_note_lv5"				"[Перегрузка+] Длительность увеличена на 4 секунды."
"DOTA_Tooltip_ability_Advanced_tether_note_lv10"			"[Доброжелательность+] Эффект усиления увеличен на 50%%"
"DOTA_Tooltip_ability_Advanced_tether_note_lv15"			"[Намерение]Дополнительное сопротивление эффектам 35%% и увеличение длительности к отрицательным эффектам на 20%% у цели."
"DOTA_Tooltip_ability_Advanced_tether_note_lv20"			"[Сильное течение] Эффект восстановления в секунду имеет 20%% шанс утроить эффект"
"DOTA_Tooltip_ability_Advanced_tether_note_base_Info"      "Дальность применения: +20/уровень<br/>Скорость передачи восстановления: +0,01/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_tether_note_lv25_1"				"[Superconducting Transmission]The transmission efficiency can be increased when casting a spell with a cooldown time greater than 3 seconds each time, each cast can increase the transmission efficiency by 10%% in 30 seconds, and each stack of superconducting transmission can also increase the outgoing damage of the target by 3%%, which is affected by the positive state duration gain."
"DOTA_Tooltip_ability_Advanced_tether_note_lv25_2"				"[Physical Enhancement]In the battle field, when you heal target =100%% of the target's maximum HP (whether it is effective or not), which can make the target gain a permanent 1%% of the maximum HP bonus, up to 100%. This effect can also be retained after you selling the spell"
"DOTA_Tooltip_ability_Advanced_tether_note_lv25_3"				"[Mental Enhancement]In the battle field, when you give target =100%% of the target's maximum MP (whether it is effective or not),  which can make the target gain a permanent 1%% of the maximum MP bonus, up to 150%%. This effect can also be retained after you selling the spell"

"DOTA_Tooltip_ability_Advanced_aphotic_shield_note_lv5"				"[Поглощение энергии+]Урон увеличен до 60, вероятность срабатывания без потребления увеличена до 22%%"
"DOTA_Tooltip_ability_Advanced_aphotic_shield_note_lv10"			"[Преобразование здоровья+] Коэффициент преобразования увеличен до 40%%"
// "DOTA_Tooltip_ability_Advanced_aphotic_shield_note_lv15"			"[Адаптация]Изменена логика скила щита, чтобы восстановить HP, равный урону при получении урона (рассматривается как изменение HP), который можно наложить на любые другие щиты того же типа, чтобы они вступили в силу."
"DOTA_Tooltip_ability_Advanced_aphotic_shield_note_lv15"			"[Excessive Blocking] Each damage only consumes 0.75 shield value"
"DOTA_Tooltip_ability_Advanced_aphotic_shield_note_lv20"			"[Кастинг по области]Накладывает эффекты умений на 2 дополнительные цели в радиусе 350 единиц от цели."
"DOTA_Tooltip_ability_Advanced_aphotic_shield_note_base_Info"       "Базовый щит: +2/уровень<br/>Дополнительный множитель прочности щита: +0,1/уровень<br/>Урон от взрыва: +10/уровень<br/>Множитель силы урона от взрыва: +0,05/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_aphotic_shield_note_lv25_1"				"[Abaddon's Death Shield]The duration of shield is doubled, and the absorbed HP of 'Life Transformation' is changed to 20%% and will be converted into a shield value equivalent to 300%% of HP"
"DOTA_Tooltip_ability_Advanced_aphotic_shield_note_lv25_2"				"[Highly Automated]Turn into a passive ability, and all friendly units can automatically obtain the shield effect. When they are not hurt in 7 seconds, they can recover and obtain a shield (still have 'Life Transformation' effect)"
"DOTA_Tooltip_ability_Advanced_aphotic_shield_note_lv25_3"				"[Dim Light Pulse]Instead of casting spells on the enemy, the absorbed HP of 'Life Transformation' becomes reduce the caster's HP. At the same time, the shield effect of the target can only block once, and then explode, causing 4 times the damage"


"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv5"			"[Охваченный туманом+] Длительность увеличена на 3 секунды."
"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv10"			"[Отслеживание души+]Дальность применения увеличена до полной дальности карты"
"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv15"			"[Переполюсовка]Больше не наносит себе 40%% урона, вместо этого наносит 40%% исцеления."
"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv20"			"[Кастинг по области]Применяет эффекты умения ко всем юнитам в радиусе 350 единиц от цели."
"DOTA_Tooltip_ability_Advanced_mist_coil_note_base_Info"    "Базовый урон/лечение: +15/уровень<br/>Множитель силы: +0,15/уровень<br/>"	
"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv25_1"				"[Aghanim’s Blessing]During the buff of Advanced Borrowed Time, whenever you receive damage of 5%% of the maximum HP, auto cast this spell to the target, but it will only trigger once every 0.4 seconds"
"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv25_2"				"[Soul Haunt]Only Abaddon can unlock this effect. The cooldown of 'Soul Return' reduce to 10 seconds. When triggered, you can auto cast a single Advanced mist coil to the target"
"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv25_3"				"[Senior medical staff]The cooldown time of the spell is reduced to 3.5 seconds. At the same time, you will cast a single Advanced Aphotic Shield to the target before healing for the target (but it cannot be triggered after you unlock the Third Mystery of Aphotic Shield)"



"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv5"			"[Спонтанно+]Преобразован в сильный рассеивающий эффект"
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv10"			"[Сын леса+] Лечебный эффект от «Детей леса» увеличен на 50%%."
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv15"			"[Широкое исцеление] Дальность исцеления активного эффекта увеличена до 800."
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv20"			"[Море фей]Увеличивает количество активных спрайтов на 5 (без визуальных эффектов)"
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_base_Info"    "Базовое лечение: +1/уровень<br/>Множитель интеллекта: +0,004/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv25_1"	"[Son of Nature]When the main effect takes effect, the summoned units are accompanied by two permanent elves, at the same time, caster's Summon Strength increase by 20%%(passive)"
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv25_2"	"[The Blessing of Healing]Whenever the elf heals a hero, the hero's maximum health can be permanently increased by 1, up tp 15000 stacks"
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv25_3"	"[Lin Yuan]Any healing effect caused by you can be converted into equal damage, randomly select an enemy within 1000 around every 0.5 seconds and return it with magic damage, which is regarded reflection damage. Only take effect when you in the battle"


"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv5"			"[Экстремальное старение+]Скорость стака увеличена на 100%%"
"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv10"			"[Замена души+] Последующая продолжительность увеличена до 10 секунд."
"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv15"			"[Возврат] больше не вызывает эффект обезоруживания союзников."
"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv20"			"[Возврат+] Дает дополнительное сопротивление магии при использовании на союзниках"
"DOTA_Tooltip_ability_Advanced_Decrepify_note_base_Info"    "Снижение сопротивления магии: +1%%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv25_1"				"[Permanent Aging]Only affect enemy, will longer cause disarming and immune physical damage, the duration becomes permanent and cannot be dispelled, and each time the Decrepify is applied to the repeated target, it will increase by 10%% Magic resistance reducetion effect"
"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv25_2"				"[Aging Aura]Turn the spell into aura, lose all additional effects, and only retain the magic resistance reduction and movement speed reduction effects. Apply the Decrepify to both units within the surrounding 1300 range, and the bonus effect to friendly units. Enemies in the aura will also increase the magic resistance reduction effect by 10%% every 5 seconds, up to three times"
"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv25_3"				"[Reincarnation]Only Pugna can learn this effect and will comprehend the lost memory, the effect radius of the talent skill 'Annihilation' will be doubled, and the damage will beincreased by 4 times"


"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv5"			"[Сила Ктулху +] Длительность увеличивается на 5 секунд"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv10"			"[Плетение+] Продолжительность + 10 секунд"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv15"			"[Проникновение] Каждое применение добавит 1%% дополнительного сокращения перезарядки на 15 секунд, но до дополнительных 15%%, суммируется с умножением тела"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv20"			"[Проникновение+] Максимальное значение увеличено до 25%%"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_base_Info"     "Сокращение перезарядки:+0.4%%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv25_1"	    "[Good Juju]When you cast any spell with a cooldown time greater than 3s, the cooldown time of other non Unrefreshable spells can be reduced by 1.5 seconds, affecting up to 2 spells, with priority from left to right. At the same time, self cooldown time is increased by 2s, and it will not be triggered after more than 10 seconds"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv25_2"	    "[Nothingness Spell]When you cast any spell with a cooldown time greater than 3s, if the target is the enemy, apply a Advanced Poison touch to it, if it is a friendly unit, apply a Advanced Shadow Wave to it, with a 0.1 second cooldown time"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv25_3"	    "[Aghanim’s Blessing]When you cast any spell with a cooldown time greater than 3s, you can launch an attack that triggers all attack effects on up to 8 enemies in the surrounding attack range, and it will not be regarded as a bonus attack. One second cooldown time for each trigger, and it will not be triggered when the cooldown time is greater than 10 seconds"


"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv5"			"[Яркая волна+] Коэффициент потери HP увеличен до 35%%"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv10"			"[Ночной щит+] Каждое исцеление союзника также увеличивает сопротивление магии цели на 4%%."
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv15"			"[Темная волна] Поврежденные враги уменьшат свою броню на 2ед. на 10 секунд (под влиянием сопротивления эффектам и улучшения длительности отрицательного эффекта), и продолжительность рассчитывается независимо."
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv20"			"[Яркая волна++] Урон навыка будет рассчитываться по значению после увеличения лечения."
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_base_Info"      "Базовый урон: +6/уровень<br/>Множитель интеллекта: +0,04/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv25_1"	    "[Complete Treatment]'Яркая волна' can heal 60%% of the lost HP, and has a 30%% chance to heal 100%%"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv25_2"	    "[Shadow Totem]Turn to point target spell. A shadow Totem will be inserted at the target point. The totem will automatically cast shadow waves to the nearest friendly party every 2 seconds. The totem duration is permanent, but there can only be one. The spell's basic value is affected by the summoning enhancement"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv25_3"	    "[Easy to understand reinforcement]The cooldown time is reduced to 5 seconds, increase the basic value to three times, and the spell will apply a strong dispel before causing treatment / damage"



"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv5"			"[Скорбь+]Дальность действия увеличена на 200, а конверсия урона увеличена до 50%%"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv10"			"[Духовное погребение+] награда за атрибут увеличена до 50%%"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv15"			"[Поддержание энергии] Минимальное здоровье увеличено с 1 до 10%% от целевого максимума здоровья."
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv20"			"[Быстрое восстановление] Время восстановления уменьшено до 30 секунд."
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_base_Info"    "Длительность: +0,1/уровень<br/>"	
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv25_1"	    "[Multiple Casting] At most 3 units within the 500 range of the target(plus caster self) will also be applied the shallow grave. Bonus targets will not include summoners"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv25_2"	    "[Take Death Dalmly] In the state of shallow grave, the outgoing damage of the target can be increased by 20%% for every 10%% of health lost. This effect will last for 5 seconds after the end of the buff"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv25_3"	    "[Heavy Grave] Double the durationHowever, as long as the health value of the target reaches the min HP line, it will be forced to die after the end of the state. In this case, if the target is buy back by friendly hero within 10 seconds, the Respawn time will be reduced to 7 seconds. For every 5000 gold the target player has, the Respawn time will be reduced by 0.3 seconds but at least 0.5 second. After respawn, the target will gain a permanent all attribute bonus of gold /5000, but this effect can only be triggered 20 times at most for the same unit, and you can only get 10 bonus at most each time. Will not take effect if you are not in the balttle"



"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv5"				"[Певец+] бонус увеличен на 50%%"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv10"			"[Суперпозиция+]Каждое применение имеет 30%% шанс иметь двойной эффект, на который влияет бонус вероятности события в 50%, а уменьшающееся предельное преимущество уменьшается до 5%%"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv15"			"[Выносливость] Продолжительность положительного состояния увеличена, чтобы удвоить эффект расчета времени."
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv20"			"[Улучшение всех атрибутов] Получите дополнительные 10 очков бонуса ко всем атрибутам"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_base_Info"       "Увеличение скорости передвижения: +0,4%% уровень<br/>Увеличение скорости атаки: +2/уровень<br/>Увеличение силы атаки: +2/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv25_1"				"[Прорыв]Убывающие преимущества снижены до 2,5%%, больше не зависят от положительных эффектных бонусов, но увеличены до 50 секунд за стак (убывающие преимущества определяются при добавлении эффекта, если есть два разных заклинателя, первый разыгран как эталон)"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv25_2"				"[Двойное заклинание] дополнительно действует на ближайшего дружественного героя к цели."
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv25_3"				"[Кровожадная метка]Изменено на высвобождение умений на месте.Высвобождаемые умения действуют только на себя, но эффект меняется на ауру, которая может делиться 50%% эффекта с союзными героями в радиусе 1000 (независимо от исходного эффекта)"





"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv5"			"[Разделить+]Дополнительные единицы влияния увеличены до 6"
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv10"			"[Вирус+] Вторичные сопли имеют эффект 75%%"
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv15"			"[Серьезная простуда]Каждый стак соплей дополнительно снижает сопротивление магии и эффектам на 2%%."
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv20"			"[Перекрестная инфекция]Когда к врагу с основным эффектом добавляется вторичный эффект, есть 10%% шанс навсегда снизить 1Брони и 2%% сопротивления магии, суммируется до 20 раз"
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_base_Info"    "Базовое снижение брони: +0,1/уровень<br/>Дополнительное снижение брони за стак: +0,04/уровень<br/>Замедление базовой скорости передвижения: +2/уровень<br/> Замедление скорости передвижения за стак: +0,4/уровень<br/>"    
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv25_1"	    "[Aghanim’s Blessing]Change to passive spell, will automatically cast the spell to enemies within the surrounding 1000 range, and the maximum number of stacks will be increased to 20. This effect will also trigger Advanced Warpath"
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv25_2"	    "[Viral Evolution]Main snots and sub snots will evolve once every 100 times they affect the enemy( use the same stack), increasing the basic armor reduction by 1 (additional armor reduction will not be displayed ). After 20 times of evolution, they will become undispersible and will no longer be affected by state resistance"
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv25_3"	    "[Contaminated]Turn to aura spell, and apply 10 stacks of snot effect to enemies within 1000 surrounding areas"


"DOTA_Tooltip_ability_Advanced_Warcry_note_lv5"				"[Печать Ночного Дозора+]Бонусный эффект увеличен до 75%%"
"DOTA_Tooltip_ability_Advanced_Warcry_note_lv10"			"[Зима близко+] дополнительный урон увеличен до 22%%"
"DOTA_Tooltip_ability_Advanced_Warcry_note_lv15"			"[Встать] Активный эффект обеспечивает дополнительное сопротивление эффектам на 35%% и сопротивление магии на 20%%."
"DOTA_Tooltip_ability_Advanced_Warcry_note_lv20"			"[Мы чемпионы]эффект больше не рассеивается, а область действия увеличена до полной карты."
"DOTA_Tooltip_ability_Advanced_Warcry_note_base_Info"       "Бонус к скорости передвижения: +1%%/уровень<br/>Бонус силы: +1/уровень<br/>Радиус: +10/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Warcry_note_lv25_1"	    "[Pledge Keeper]When casting spells, each friendly hero increases the spell effect by 20%%, and each Summoner increases the spell effect by 1%%(Only basic bonus and lv15 effect are affected)"
"DOTA_Tooltip_ability_Advanced_Warcry_note_lv25_2"	    "[Pledge Breaker]The main spell effect is no longer effective for friendly units (the aura effect is still effective). In contrast, when casting the spell, every friendly hero that should be affected can increase the spell effect by 60%% and the summoning unit is 3%%(Only basic bonus and lv15 effect are affected)"
"DOTA_Tooltip_ability_Advanced_Warcry_note_lv25_3"	    "[Kingslayer]You can designate a friendly hero as your Lord and permanently increase his all attributes by 100, but when this hero kills 30 enemies every time, his back will be stabbed by your and lose all hp but only 1 hp left, if the HP of this unit is lower than 20%% before the backstab, it will be force kill by you. This mystery can be unlocked repeatedly, each unlocking can be specified your lord once, and the number of times the Aghanim Core can be purchased will be restored by 1 after the completion of the specification, also the level of gold cost. The same unit can be specified multiple times, but up to 5 times, and the stack spell of of kills will also increase"



"DOTA_Tooltip_ability_Advanced_take_aim_note_lv5"			"[Focus+]Max stacks is up to 10"
"DOTA_Tooltip_ability_Advanced_take_aim_note_lv10"			"[Concentration+]Trigger chance increased to 99%%"
"DOTA_Tooltip_ability_Advanced_take_aim_note_lv15"			"[Полная коллекция]Когда стаки Концентрации полны, все атрибуты будут увеличены на 30, а бонус к урону на 10%%."
"DOTA_Tooltip_ability_Advanced_take_aim_note_lv20"			"[Снайпер] Когда перезарядка завершена, добавляется дополнительная дальность атаки 1000, и перезарядка вводится после атаки, с перезарядкой 0,5 секунды."
"DOTA_Tooltip_ability_Advanced_take_aim_note_base_Info"     "Бонус к дальности атаки: +5/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_take_aim_lv25_1"	            "[Sniper God]The attack range bonus provided by 'Sniper' increase to 2000, and the cooldown time will reduce to 0.24 seconds，when the 'Focus' effect is in max stack, the colldown time becomes 0.12 second"
"DOTA_Tooltip_ability_Advanced_take_aim_lv25_2"	            "[Focusing]The maximum stacks of 'Focus' increase to 50 (the number of stacks required in 'All Concentration' remains the same which is 20 stacks), and each stack of 'Focus' will provide an additional 1%% of attack damage"
"DOTA_Tooltip_ability_Advanced_take_aim_lv25_3"	            "[Jame's AWP]When 'Sniper' is triggered, if the attack target is switched, a Advanced Assassinate can be triggered at the same time, but it can only be triggered once in 1.5 seconds"


"DOTA_Tooltip_ability_Advanced_feast_note_lv5"			"[Поделиться/есть в одиночестве+]При срабатывании обмена срабатывает дополнительное время, выбирается союзник с наименьшим значением здоровья, один и тот же юнит может быть восстановлен дважды, а эффект от одной еды увеличивается до 2,5 раз."
"DOTA_Tooltip_ability_Advanced_feast_note_lv10"			"[Булимия+]Увеличивает эффект вампиризма от каждого 1%% здоровья до 2%%"
"DOTA_Tooltip_ability_Advanced_feast_note_lv15"			"[Кровавое бешенство]Временно увеличить силу атаки себя на 10%% ,при наложении эффекта вампиризма полной силы атаки*2, который длится 5 секунд, а длительность рассчитывается самостоятельно, до 15 стаков (не усиливается длительностью положительное состояние, продолжительность рассчитывается самостоятельно)"
"DOTA_Tooltip_ability_Advanced_feast_note_lv20"			"[Истинный предок] Когда усиление вампиризма является положительным числом, расчет усиления вампиризма этого навыка увеличивается втрое."
"DOTA_Tooltip_ability_Advanced_feast_note_base_Info"    "Вампиризм от урона: +0,4%%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_feast_lv25_1"	            "[Spuit Lance]Lifesteal effect is no longer limited to attack damage"
"DOTA_Tooltip_ability_Advanced_feast_lv25_2"	            "[Immediate Death Resistance]The true kill effect on you needs to reach three times the original to be effective"
"DOTA_Tooltip_ability_Advanced_feast_lv25_3"	            "[Consanguinity]You can specify your own Consanguinity once, and the 'Sharing/Eat alone' effect will be invalid, make a friendly hero share lifesteal ability with you. At the same time, when you trigger lifesteal by this ability, the target can also restore the same hp, but the reverse will not take effect"





"DOTA_Tooltip_ability_Advanced_metamorphosis_note_lv5"			"[Злой контракт+]Дальность поглощения увеличен до 1000, а значение поглощения увеличено до 15%%"
"DOTA_Tooltip_ability_Advanced_metamorphosis_note_lv10"			"[Выкусывание+]Потерянное здоровье уменьшено на 50%%"
"DOTA_Tooltip_ability_Advanced_metamorphosis_note_lv15"			"[Кровавая жертва]Преобразует 0,5%% текущего здоровья в базовую силу атаки каждую секунду в течение 5 секунд (не зависит от улучшения длительности положительного эффекта, продолжительность рассчитывается независимо)"
"DOTA_Tooltip_ability_Advanced_metamorphosis_note_lv20"			"[Тюрьма запустения]Принесите в мир часть силы , при запуске атаки есть 5%% шанс поглотить 10%% здоровья цели для восстановления себя (рассматривается как самовосстановление и не нанесет урона )"
"DOTA_Tooltip_ability_Advanced_metamorphosis_note_base_Info"    "Бонус к урону от атаки: +5/уровень<br/>Бонус к скорости атаки: +3/уровень<br/>Бонус к дальности: +4/уровень<br/>"

"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv5"				"[Дикая ярость+] Эффект кражи крови увеличен до 15%%, а максимальная скорость атаки увеличена до 600"
"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv10"			"[Кровавый рвение+] Дополнительный урон увеличен на 100%%"
"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv15"			"[Кровавая ночь]Затраты времени на трансформацию снижены на 50%% при входе в ночь."
"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv20"			"[Волчья стая] When released, all allies heroes within a 500 radius that are not in the deformed status will enter the deformed status."
"DOTA_Tooltip_ability_Advanced_shapeshift_note_base_Info"       "Дополнительный бонус к урону: +1%%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv25_1"				"[Eternal]Shapeshift duration of caster itself becomes permanent"
"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv25_2"				"[Complete Patience]Have complete patience with passive disable, complete patience with movement obstruction, stun and silence"
"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv25_3"				"[Sharp Teeth]New passive ability, 3 times the attack bonus provided by suffering 'Sharp Teeth'"


"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv5"				"[Происхождение+]Потеря 5%% бонуса за атаку"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv10"			"[Наследство+]Гарантия будет увеличена на два стака"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv15"			"[Исследование искусства меча]Каждые 50 очков силы атаки увеличивают базовую длительность на 0,15 секунды, а дальность прыжка увеличивается на 250."
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv20"			"[Призрачный танец с мечами]You can turn on automatic casting, Обычные атаки имеют шанс 10%% вызвать неуязвимый удар, который длится 0,1 секунды (отключается пассивным разрушением)"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_base_Info"       "Длительность:+0.06/Уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv25_1"				"[Limit Break]The attack speed can break through the limit of server frames, and the maximum attack frequency can reach three times the refresh rate of frames"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv25_2"				"[Sword of Fate]The Omni Slash can reduce the armor of the target by 1000"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv25_3"				"[Invincible Sacrifice]Omni Slash loses its invincible effect and can be attacked, but will immune to 100%% damage. The slash frequency is increased to twice the attack speed. During this buff, you can attack your enemy, which is independent of the Omni Slash. The state of 'Phantom Sword' can be superimposed instead of refreshed"




"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv5"			"[За гранью+]До 40 стаков"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv10"			"[Зелье Ярости+]Единица воздействия плюс один"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv15"			"[За пределом второго порядка] Дает дополнительные 100 к скорости атаки и 50 к скорости передвижения."
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv20"			"[За пределом третьего порядка]Получите 50%% сопротивления эффектам и 20%% снижения урона на время действия эффекта"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_base_Info"    "Длительность: +0,5/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv25_1"				"[Hyperactivity]Every 6 attacks launched by Friendly units affected by 'Berserk Potion' will attach a bonus a attack to the target(The attack source is the caster)"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv25_2"				"[Pharmacist]'Berserk Potion' will affect all heroes, and will also be distributed to up to 10 summoned"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv25_3"				"[Release of Restriction]During the chemical rage, your full attack damage will be increased by 100%%, but your armor will be deducted by 200 points. You can turn off this effect by turning on automatic casting. When the buff is generated, the effect of the potion will be adjusted according to your automatic casting state, and will not change halfway"


"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv5"			"[Радиация+]Длительность увеличена в три раза по сравнению с длительностью оглушения."
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv10"			"[Ремодуляция+]Множитель урона от атаки увеличен до 3"
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv15"			"[Химическая реакция]После каждого удара умения основная цель навсегда снижает броню цели на 7 очко и сопротивление магии на 6%%, суммируясь до 5 стаков."
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv20"			"[Быстрая настройка] Максимальный эффект достигается за 2,5 секунды, а время восстановления сокращается до 12 секунд."
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_base_Info"      "Максимальный множитель атаки: +0,1/уровень<br/>"	
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv25_1"				"[Pharmacist]The spell becomes a passive ability. Every 3 seconds, it will automatically throw the most effective potion to the enemies in the surrounding cast range"
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv25_2"				"[Dissolution Concurrent]The maximum number of 'Chemical Reaction' stacks is reduced to 4 and no longer reduces magic resistance, but each stack will reduce target's armor by 10"
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv25_3"				"[Uranium235]'Radiation' damage increased to 10%% of maximum HP, and the duration is fixed to 20 seconds"

