

"addon_game_name"	"Героический Путь"
"DOTA_HUD_ReRollItemFail2"                   "Сбой регенерации (сбой проверки достоверности)"
"DOTA_HUD_server_login_fail"   "Сервер снова нестабилен, попробуйте еще раз"
"DOTA_HUD_Get_Bonus_success"   "Получено успешно"
"DOTA_CUSTOM_start_end_bonus"  "Игра начинает успокаиваться..."
"DOTA_HUD_Special_spell_info"  "Специальные навыки будут постепенно добавляться в общий пул навыков в последующих версиях (чем выше навык, тем первым он будет добавлен)"
"DOTA_HUD_CheckBonus_info"  "Проверьте, есть ли у вас в настоящее время невостребованные награды"
"DOTA_HUD_SpellShop_info"  "<font color=\"#d9534f\">Когда навык достигает полного уровня, можно разблокировать новый эффект, а верхний предел можно увеличить путем улучшения; (но для разблокировки высокоуровневого навыка требуется книга навыков)</font><br><br><font color=\"#f0ad4e\">Желтая рамка — еженедельный бесплатный навык (вы можете улучшить его до продвинутого уровня 10, не разблокируя навык).</font>"
"DOTA_HUD_SpellShop_info2"   "Пассивные навыки по умолчанию располагаются в конце. В некоторых случаях вам нужно переместить их на передний план, чтобы активировать сочетания клавиш. В других колонках навыков первый навык можно приобрести бесплатно, чтобы удовлетворить потребности переключения.<br><br>For Advanced abilityies, you can upgrade 1 level by left click, or uprade 5 levels by right click"
"DOTA_HUD_SpellShop_info3"   "Продажа навыка вернет половину золота и очков навыков, в одиночном режиме вернет все очки навыков"
"DOTA_HUD_SpellShop_info4"   "Навыки могут быть улучшены после уровня навыка 5/3"
"DOTA_HUD_PlayerInfo_info1"   "<font color=\"#5bc0de\">Руководство по навыкам:</font><br><font color=\"#f0ad4e\">Здесь вы можете просмотреть навыки высокого уровня, которые вы разблокировали, а также вы можете улучшить их, потребляя Опыт, чтобы увеличить максимальный уровень.</font><br><font color=\"#f0ad4e\">После улучшения навыков в игре до более высокого уровня вы можете потратить дополнительные 500/750 золотых монет на их улучшение, улучшенные навыки увеличат базовые атрибуты, а каждые пять уровней также будут открывать новые эффекты.</font>"
"DOTA_HUD_PlayerInfo_info2"   "<font color=\"#5bc0de\">торговый центр:</font><br><font color=\"#f0ad4e\">Вы можете покупать навыки или обменивать их на опыт с помощью золотых монет, которые вы получаете, пройдя игру</font>"
// "DOTA_HUD_PlayerInfo_info2"   "<font color=\"#5bc0de\">торговый центр:</font><br><font color=\"#f0ad4e\">Вы можете покупать навыки или обменивать их на опыт с помощью золотых монет, которые вы получаете, пройдя игру.<br>Конечно, вы также можете сделать кпожертвование (но слепое пожертвование не рекомендую, если просто поддержать автора, то нормально, но не переусердствуйте)</font>"




"DOTA_HUD_PlayerInfo_info3"   "Effects Store"
"DOTA_HUD_PlayerInfo_info4"   "Персональная информация"
"DOTA_HUD_PlayerInfo_info5"   "Расширенные настройки (F10)"
"DOTA_HUD_PlayerInfo_info6"   "Achievement"
"DOTA_HUD_PlayerInfo_info7"   "<font color=\"#5bc0de\">Chaotic Era Spell Atlas</font><br><font color=\"#f0ad4e\">The spells here only appear in the chaotic era mod"




"DOTA_HUD_showAllBuff_info"   "При включении будет отображаться больше статусов, но есть следующие проблемы: статусы, которые потеряли сущности навыков (например, расходуемое маточное молочко), не смогут использовать кнопку Alt + влево для выдачи подсказок, и большинство статусов реквизита потеряют статус иконки"

"DOTA_HUD_showDamageInfo"   "Отображение данных об уроне и исцелении"
"DOTA_HUD_CheckFellOmen"   "Проверить статус Стофаз"
"DOTA_HUD_Bonus_FellOmenCount"   "Дополнительные полуфазы:{s:waveCount}"

"DOTA_HUD_BuyBackInfo"   "Временно пожертвовать частью собственных атрибутов, чтобы воскресить цель (F3)"


"dota_hud_rooted"  "Запутанный"
"dota_hud_cantmove"  "Не могу двигаться"
"dota_hud_Cant_UNLOCK"  "Условия разблокировки не соблюдены"
"dota_hub_cooldown"  "Ability On Cooldown"




"DOTA_HUD_HiddenDate"   "Скрывать ли отправленные данные после расчета"
// "DOTA_HUD_HiddenDate"   "HIDE SUBMITTED DATA"

"DOTA_HUD_Yes"   "Да"
"DOTA_HUD_Yes_Info"   "Данные о герое, навыках и предметах не будут представлены при подаче информации. Если ваша информация есть в таблице лидеров, вы не сможете просмотреть героев, умения и предметы, которые используете."
"DOTA_HUD_No"   "Нет"
"DOTA_HUD_Yes_show"   "{s:player_name}Выберите, чтобы скрыть игровые данные для этой игры. Если вы находитесь в таблице лидеров, другие игроки не могут просматривать ваши игровые данные."
"DOTA_HUD_No_show"   "{s:player_name}Не скрывать игровые данные для этой игры. Если вы находитесь в таблице лидеров, другие игроки могут просматривать ваши игровые данные."
"DOTA_HUD_CANT_SEE_INFO"   "Эта группа игроков запретила другим людям просматривать свои данные."




"DOTA_Tooltip_ability_none_spells_info"	"You do not have the eligible ability"
"DOTA_Tooltip_ability_none_spells_info_Description"	" Spell upgrade: reach the full level\n Spells for sale: there are purchased spells. "

"DOTA_HUD_store"   "Склад"
"DOTA_HUD_core_count"   "Remaining Core:{s:count}"
"Market_Core_buy_failed_no_core"                   "Нет грубых остатков для ковки"
"Market_Core_buy_failed_no_core_chance"                   "Все возможности ковки необработанного камня исчерпаны."
"Market_Core_buy_failed_difficulty"                   "Невозможно использовать мистицизм при вызове списков лидеров"
"Market_Core_buy_failed_server"                   "Сервер нестабилен"
"DOTA_HUD_PLAYER_GET_CORE_in_game1"                   "{s:player_name}Найден поддельный <font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_in_game2"                   "Подарок внеземной летающей звезды {s:player_name}кованый<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_in_game3"                   "Подарок от доброго старика{s:player_name}кованый<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_in_game4"                   "Кованый<font color=\"#f0ad4e\">{s:ability_name}</font> ударять {s:player_name}голова"


"DOTA_HUD_PLAYER_GET_CORE"                   "{s:player_name}Кованый<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS1"                   "{s:player_name}Найден в трупе<font color=\"#f0ad4e\">{s:locstring_value}</font>Камень<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS2"                   "{s:player_name}Найден где-то в шахте<font color=\"#f0ad4e\">{s:locstring_value}</font>Камень<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS3"                   "{s:player_name}Нашел где-то<font color=\"#f0ad4e\">{s:locstring_value}</font>Камень<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS4"                   "Упал с неба<font color=\"#f0ad4e\">{s:locstring_value}</font>Камень<font color=\"#f0ad4e\">{s:ability_name}</font>,ударять{s:player_name}"
"DOTA_HUD_PLAYER_GET_CORE_BONUS5"                   "{s:player_name}Поднял с земли<font color=\"#f0ad4e\">{s:locstring_value}</font>Камень<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS6"                   "Безликий мужчина дал{s:player_name}<font color=\"#f0ad4e\">{s:locstring_value}</font>Камень<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS7"                   "{s:player_name}Молитва подействовала, получил<font color=\"#f0ad4e\">{s:locstring_value}</font>Камень<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS8"                   "{s:player_name}Используя удачу товарищей по команде, чтобы обнаружить<font color=\"#f0ad4e\">{s:locstring_value}</font>Камень<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS9"                   "{s:player_name}Есть<font color=\"#f0ad4e\">{s:locstring_value}</font>Камень<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS10"                   "Мастер Аганим ответил{s:player_name} просьба, дал ему<font color=\"#f0ad4e\">{s:locstring_value}</font>Камень<font color=\"#f0ad4e\">{s:ability_name}</font>"




"DOTA_HUD_upgrade_advanced_spell_info"  "Left click to uprate once, right click to uprade quintic"


"Player_Black_Hole1"                   "The wormhole is working…………"
"Player_Black_Hole2"                   "Somethings were changed in this world…………"

"Paypal_block_too_small"                   "Due to PayPal's high fixed transaction fees, we currently cannot support low-value payments. Thank you for your understanding."


"DOTA_NPEDesc_DOTA_Item_Build_Auto_Items"                   "You have turned on the advanced store, please disable it, otherwise the equipment cannot be displayed normally"

 
"DOTA_Shop_info"                   "At the end of each round, you will get a chance to choose equipment rewards. Most equipment will be obtained in this step rather than purchased in the shop. The equipment sold in the shop is the most basic item, so you don't need them most of the time"

"DOTA_GameMode_15"  "Heroic Road:Overture"
"dota_game_end_victory_title_radiant"  "Successfully Overcome The Suffering"
"dota_game_end_victory_title_dire"  "Failed in Suffering"



"TimeScalce_panel"                   "Time Scale"
"TimeScalce_info"                   "You can slow down the game by changing the game time scale, so as to alleviate the jam to a certain extent; It can also prevent game crash during lag."
"TimeScalce_send"                   "Send"
"TimeScalce_send_info"                   "Send a confirmation request to the teammate to change the time scale."



"DOTA_HUD_Change_Time_Scale"   "A player want to adjust the time scale, do you accept?"
"DOTA_HUD_Change_Time_Scale_Yes"   "Accept"
"DOTA_HUD_Change_Time_Scale_Yes_Info"   "When all players agree, the time scale of the game will be changed."
"DOTA_HUD_Change_Time_Scale_No"   "Refuse"
"DOTA_HUD_Change_Time_Scale_Yes_show"   "{s:player_name} accepted the adjustment request."
"DOTA_HUD_Change_Time_Scale_NO_show"   "{s:player_name} rejected the adjustment request."

"DOTA_HUD_Change_Time_Scale_change_info"   "The game time scale has been adjusted to {s:locstring_value}%"

"DOTA_HUD_Talent_Menu"                   "Unlocked Talent"
"DOTA_HUD_Item_Menu"                   "Item Atlas"


"DOTA_CUSTOM_UpdateFailed2"                   "{s:player_name}<font color=\"#d9534f\">Не удалось обновить награду за игровое прохождение, сервер может быть нестабильным</font>"
"DOTA_CUSTOM_UpdateFailed3"                   "и через 2 секунд будет произведена повторная попытка обновления"

"HUD_Settlement_Done"  "The settlement has been completed, and you can safely exit the game now"


"DOTA_CUSTOM_Cant_Learn_1"                   "Unable to learn new spell when you are not alive"
"DOTA_CUSTOM_Cant_Learn_2"                   "Unable to evolve spell when you are not alive"
"DOTA_CUSTOM_Cant_Learn_3"                   "Unable to upgrade spell when you are not alive"

"DOTA_CUSTOM_heroSelection_1"                   "Loading player data..."
"DOTA_CUSTOM_heroSelection_2"                   "Player data loading progress. If it fails to load for a long time, please restart the game.You can click the hidden exit button in the upper left corner. If it fails to load for a long time, it is recommended to change the server to another region."
"DOTA_CUSTOM_heroSelection_3"                   "Be careful not to use the local server"


"DOTA_HUD_CheckTalentMarket"  "Old players can buy hero talents directly, but note that the talents sold here are more expensive than those in the black market, so unless you are really in a hurry, I suggest you'd better wait for the black market."



"DOTA_CUSTOM_CAST_DENY_DISABLE_HELP"                   "Cannot cast a target with Disable Help enabled"
"DOTA_CUSTOM_CAST_DENY_NO_TARGET"                   "No Suitable Target"
"DOTA_CUSTOM_CAST_DENY_NO_stack"                   "Not Enough Stacks"
"DOTA_HUD_spell_modify"                   "You have unused genetic modification points"
"DOTA_HUD_spell_modify_title"                   "Gene Modification"
"DOTA_HUD_spell_modify_current_point"                   "Current gene modification points:{s:value1}"
"DOTA_HUD_spell_modify_send"                   "Confirm"
"DOTA_HUD_spell_modify_deny_1"                   "Not enough gene modification points"
"DOTA_HUD_spell_modify_1"                   "Attack Modify"
"DOTA_HUD_spell_modify_2"                   "Defensive Modify"

"DOTA_HUD_not_enough_ability_point"                   "NoT enough ability point"

"DOTA_HUD_spell_upgrate_button_tooltip"                   "Spell evolve cost: "



"DOTA_HUD_SpellBook_Dropped"   "New settlement rewards:<font color=\"#f0ad4e\">Unknow Spell Book</font>×{s:value1}."



"DOTA_Modifier_From"				"(Source-%s1)"
"DOTA_Modifier_From_Unknow"				"(Unknown Source)"

"DOTA_HUD_exp_Dropped"   "New settlement rewards:<img class='DotaPlusSmallIcon' src='s2r://panorama/images/battle_report/silver_medal_small_psd.vtex' /><font color=\"#f0ad4e\">Reliable Experience</font>:{s:value1}"
"DOTA_HUD_aurum_Dropped"   "New settlement rewards:<img class='DotaPlusSmallIcon' src='s2r://panorama/images/compendium/compendiumcoins_ti5_png.vtex' /><font color=\"#f0ad4e\">Aurum</font>:{s:value1}"





"DOTA_Modifier_Alert_hd_special_1"				"With %s1% Cooldown Reduction"

"DOTA_HUD_Advanced_Attribue" "Advanced Property"
"DOTA_HUD_CooldownReduction"  "Cooldown Reduction:"
"DOTA_HUD_OutGoingDamage_Detail"  "Outgoing Damage Bonus:"
"DOTA_HUD_CastRangeBonus_Detail"  "Cast Range Bonus:"
"DOTA_HUD_HealAMP_PercentageBonus_Detail"  "Heal AMP:"
"DOTA_HUD_HealReceiveAMP_PercentageBonus_Detail" "Heal Receive AMP:"

"DOTA_HUD_DurationGain"  "Buff Duration Bonus:"
"DOTA_HUD_NegativeDurationGain" "Debuff Duration Bonus:"


"DOTA_HUD_SummonIntensity" "Summon AMP:"
"DOTA_HUD_SummonTimeIntensity" "Summon Time AMP:"
"DOTA_HUD_LifeStealIntensity" "Lifesteal AMP:"
"DOTA_HUD_RandomEffectGain" "Probability Event Trigger AMP:"
"DOTA_HUD_PhysicalCriticalAmp"  "Critical Damage AMP:"

"DOTA_HUD_Incoming_Damage"  "Damage Reduction:"



"HUD_Advanced_Header"  "Advanced Effect"
